City,Year,Month,Bus,MRT,HSR
Taoyuan,2014,6,2629263,,361968
Taoyuan,2014,7,2462814,,377320
Taoyuan,2014,8,2527662,,375023
Taoyuan,2014,9,2728098,,359965
Taoyuan,2014,10,2870719,,377425
Taoyuan,2014,11,2727019,,353567
Taoyuan,2014,12,2808840,,360827
Taoyuan,2015,1,2626068,,357212
Taoyuan,2015,2,2092303,,350037
Taoyuan,2015,3,2822791,,377614
Taoyuan,2015,4,2648094,,370773
Taoyuan,2015,5,2852400,,379104
Taoyuan,2015,6,2600508,,374581
Taoyuan,2015,7,2460765,,387165
Taoyuan,2015,8,2384828,,380666
Taoyuan,2015,9,2580624,,364104
Taoyuan,2015,10,2813616,,394102
Taoyuan,2015,11,2726314,,377826
Taoyuan,2015,12,2788406,,432369
Taoyuan,2016,1,2476021,,434453
Taoyuan,2016,2,2191342,,552195
Taoyuan,2016,3,2731192,,492075
Taoyuan,2016,4,2306207,,420585
Taoyuan,2016,5,2760552,,421550
Taoyuan,2016,6,2571835,,425610
Taoyuan,2016,7,2390295,,439919
Taoyuan,2016,8,2402451,,436582
Taoyuan,2016,9,2498933,,414937
Taoyuan,2016,10,2806350,,459369
Taoyuan,2016,11,2713452,,433873
Taoyuan,2016,12,4353002,,473980
Taoyuan,2017,1,3976512,,479814
Taoyuan,2017,2,3820793,,461641
Taoyuan,2017,3,4491876,2001450,456367
Taoyuan,2017,4,5095392,1722923,518716
Taoyuan,2017,5,5162122,1645321,496075
Taoyuan,2017,6,5057917,1574561,454700
Taoyuan,2017,7,4783442,1654095,491807
Taoyuan,2017,8,4853689,1797409,507454
Taoyuan,2017,9,5255932,1571373,458170
Taoyuan,2017,10,5253239,1787227,525040
Taoyuan,2017,11,5953169,1616698,482712
Taoyuan,2017,12,5592618,1974895,575202
Taoyuan,2018,1,5393174,1791515,513291
Taoyuan,2018,2,4313714,1688773,494502
Taoyuan,2018,3,5897924,1879941,527057
Taoyuan,2018,4,5413457,1827860,543891
Taoyuan,2018,5,5770367,1813423,524252
Taoyuan,2018,6,5283410,1849962,523518
Taoyuan,2018,7,4080755,1943734,537570
Taoyuan,2018,8,4125349,2088082,543528
Taoyuan,2018,9,4766440,1930602,523970
Taoyuan,2018,10,5299789,2044172,539371
Taoyuan,2018,11,5085947,2029395,546864
Taoyuan,2018,12,5103054,2326802,600465
Taoyuan,2019,1,4649294,2150172,540714
Taoyuan,2019,2,4066151,2002701,536052
Taoyuan,2019,3,5029986,2195554,560148
Taoyuan,2019,4,4862978,2184292,575674
Taoyuan,2019,5,5086652,2234478,580643
Taoyuan,2019,6,4300047,2277863,605251
Taoyuan,2019,7,4488619,2412715,606249
Taoyuan,2019,8,4390033,2473969,591506
Taoyuan,2019,9,4634256,2287045,577920
Taoyuan,2019,10,5153121,2579433,629339
Taoyuan,2019,11,4954277,2399065,598278
Taoyuan,2019,12,5106617,2765331,680310
Taoyuan,2020,1,4426607,2567102,658083
Taoyuan,2020,2,3477765,1707162,430177
Taoyuan,2020,3,4072634,1262843,367071
Taoyuan,2020,4,3462751,1008639,295244
Taoyuan,2020,5,4058759,1175914,360402
Taoyuan,2020,6,4001733,1294855,409379
Taoyuan,2020,7,4032523,1492968,474210
Taoyuan,2020,8,3928647,1650966,569560
Taoyuan,2020,9,4480971,1546511,527966
Taoyuan,2020,10,4460921,1603333,598383
Taoyuan,2020,11,4516865,1550053,566151
Taoyuan,2020,12,4617832,1656106,589103
Taoyuan,2021,1,3656726,1450579,471385
Taoyuan,2021,2,2830324,1171937,380058
Taoyuan,2021,3,4353836,1524198,501595
Taoyuan,2021,4,4121798,1520202,537070
Taoyuan,2021,5,2550620,842330,260170
Taoyuan,2021,6,491159,425898,69155
Taoyuan,2021,7,939949,585039,123924
Taoyuan,2021,8,1784847,913760,223253
Taoyuan,2021,9,2716892,1007934,284699
Taoyuan,2021,10,3312237,1308679,395546
Taoyuan,2021,11,3576813,1400051,441400
Taoyuan,2021,12,3797212,1588984,556213
Taoyuan,2022,1,2686107,1240385,370196
Taoyuan,2022,2,2250944,1094739,368216
Taoyuan,2022,3,3622790,1478458,468960
Taoyuan,2022,4,2813999,1188264,396864
Taoyuan,2022,5,2089859,957179,296599
Taoyuan,2022,6,2346331,1106651,352436
Taoyuan,2022,7,2568736,1393496,458628
Taoyuan,2022,8,2756154,1516543,530365
Taoyuan,2022,9,2918434,1465881,507615
Taoyuan,2022,10,3122558,1645996,560320
Taoyuan,2022,11,3078363,1844745,582380
Taoyuan,2022,12,3173977,2236763,690573
Taichung,2012,1,5253540,,687659
Taichung,2012,2,5684636,,620423
Taichung,2012,3,6453366,,673865
Taichung,2012,4,6362660,,648921
Taichung,2012,5,6817473,,657404
Taichung,2012,6,6358471,,635799
Taichung,2012,7,6678869,,705241
Taichung,2012,8,6710040,,680295
Taichung,2012,9,7384597,,689504
Taichung,2012,10,7966740,,700123
Taichung,2012,11,7603757,,700285
Taichung,2012,12,8218560,,736155
Taichung,2013,1,7830458,,667716
Taichung,2013,2,6838500,,674004
Taichung,2013,3,8570916,,778574
Taichung,2013,4,8192225,,716725
Taichung,2013,5,8767332,,735068
Taichung,2013,6,8426049,,717841
Taichung,2013,7,8074392,,736216
Taichung,2013,8,8285363,,761950
Taichung,2013,9,9059473,,735973
Taichung,2013,10,9675730,,725115
Taichung,2013,11,9443241,,728607
Taichung,2013,12,10031748,,749285
Taichung,2014,1,8895887,,713565
Taichung,2014,2,8382120,,684500
Taichung,2014,3,9947872,,750238
Taichung,2014,4,9732409,,740245
Taichung,2014,5,10276067,,760608
Taichung,2014,6,9730103,,716948
Taichung,2014,7,9465468,,750681
Taichung,2014,8,10845190,,773199
Taichung,2014,9,10615321,,735967
Taichung,2014,10,11827403,,784143
Taichung,2014,11,11529596,,766414
Taichung,2014,12,12097543,,774536
Taichung,2015,1,11091470,,739867
Taichung,2015,2,8923494,,747682
Taichung,2015,3,11904449,,803793
Taichung,2015,4,11164531,,778287
Taichung,2015,5,11460098,,793717
Taichung,2015,6,10955604,,760146
Taichung,2015,7,10678974,,789149
Taichung,2015,8,10302219,,787028
Taichung,2015,9,10983225,,770960
Taichung,2015,10,12070930,,811846
Taichung,2015,11,11517591,,794664
Taichung,2015,12,12351567,,818885
Taichung,2016,1,10754791,,779817
Taichung,2016,2,9778110,,780734
Taichung,2016,3,11406953,,783746
Taichung,2016,4,11409620,,812295
Taichung,2016,5,11975972,,812044
Taichung,2016,6,11253413,,788955
Taichung,2016,7,10576024,,824217
Taichung,2016,8,11261648,,828232
Taichung,2016,9,10938929,,770220
Taichung,2016,10,12183656,,863681
Taichung,2016,11,11677708,,830159
Taichung,2016,12,12530179,,910569
Taichung,2017,1,10527229,,878365
Taichung,2017,2,10259698,,791349
Taichung,2017,3,11920120,,879076
Taichung,2017,4,11358047,,872158
Taichung,2017,5,11769869,,881581
Taichung,2017,6,11031341,,799229
Taichung,2017,7,10146407,,857815
Taichung,2017,8,10932541,,896140
Taichung,2017,9,11281741,,814043
Taichung,2017,10,11802876,,923228
Taichung,2017,11,11613964,,870475
Taichung,2017,12,12431053,,966045
Taichung,2018,1,11396823,,847274
Taichung,2018,2,9241806,,842282
Taichung,2018,3,12148461,,925148
Taichung,2018,4,11397856,,940867
Taichung,2018,5,12095170,,904421
Taichung,2018,6,11265561,,898340
Taichung,2018,7,10534440,,905253
Taichung,2018,8,10689514,,933984
Taichung,2018,9,11296249,,905381
Taichung,2018,10,12271856,,918632
Taichung,2018,11,11696105,,954543
Taichung,2018,12,12288984,,1025584
Taichung,2019,1,11176394,,920395
Taichung,2019,2,9408145,,896694
Taichung,2019,3,11639923,,985570
Taichung,2019,4,11248972,,970505
Taichung,2019,5,11770615,,938757
Taichung,2019,6,10721560,,948986
Taichung,2019,7,10408307,,951014
Taichung,2019,8,10388162,,949188
Taichung,2019,9,11239611,,943903
Taichung,2019,10,12025276,,980278
Taichung,2019,11,11550266,,979091
Taichung,2019,12,12204466,,1028442
Taichung,2020,1,9907064,,1016297
Taichung,2020,2,7634238,,660251
Taichung,2020,3,9172363,,574851
Taichung,2020,4,7885718,,481476
Taichung,2020,5,8959885,,616615
Taichung,2020,6,9215753,,728028
Taichung,2020,7,9342542,,825105
Taichung,2020,8,9146141,,892047
Taichung,2020,9,9833820,,834155
Taichung,2020,10,10082700,,927123
Taichung,2020,11,10017267,,911206
Taichung,2020,12,10555721,,959946
Taichung,2021,1,8666126,,764821
Taichung,2021,2,6954524,,713290
Taichung,2021,3,9591860,,858385
Taichung,2021,4,9123051,200565,919706
Taichung,2021,5,5387920,501125,454425
Taichung,2021,6,1394080,101769,85793
Taichung,2021,7,2068985,180078,189469
Taichung,2021,8,3497998,362325,365665
Taichung,2021,9,5518624,490065,492274
Taichung,2021,10,7126074,693795,690763
Taichung,2021,11,7621469,753032,775357
Taichung,2021,12,8243527,901531,928211
Taichung,2022,1,6871066,757363,714200
Taichung,2022,2,5713827,782294,639317
Taichung,2022,3,8035129,866770,809083
Taichung,2022,4,6465922,682815,650337
Taichung,2022,5,4771128,487351,430068
Taichung,2022,6,4013480,493612,499915
Taichung,2022,7,5258479,709022,724195
Taichung,2022,8,6032925,808773,809491
Taichung,2022,9,6808004,810410,817725
Taichung,2022,10,7253182,945534,901498
Taichung,2022,11,7410191,928325,924067
Taichung,2022,12,7870067,1057496,1051998
New Taipei,2012,1,11589577,,295136
New Taipei,2012,2,12162313,,226142
New Taipei,2012,3,14277359,,233891
New Taipei,2012,4,13360515,,238649
New Taipei,2012,5,14356097,,235562
New Taipei,2012,6,13102598,,223731
New Taipei,2012,7,13753434,,258608
New Taipei,2012,8,14108824,,244478
New Taipei,2012,9,15163551,,238828
New Taipei,2012,10,16587767,,251620
New Taipei,2012,11,16040309,,241970
New Taipei,2012,12,16498243,,256422
New Taipei,2013,1,16734395,,240694
New Taipei,2013,2,13748701,,283638
New Taipei,2013,3,17819512,,279793
New Taipei,2013,4,16849477,,259420
New Taipei,2013,5,18129322,,254083
New Taipei,2013,6,16707013,,253459
